row_type,step,update,episode,episode_return,episode_length,loss,policy_loss,value_loss,entropy
update,23040,180,192,,,6097.94873046875,-0.00032606348395347595,12195.9033203125,0.23157232999801636
episode,23085,181,192,-170.93499999999983,103,,,,
update,23168,181,193,,,3732.526611328125,0.017190616577863693,7465.02392578125,0.23667937517166138
episode,23232,182,193,-36.04800000000008,147,,,,
update,23296,182,194,,,2923.39697265625,0.01538646686822176,5846.76953125,0.3175050914287567
episode,23318,183,194,-139.59200000000007,86,,,,
episode,23424,183,195,-140.12600000000006,106,,,,
update,23424,183,196,,,7356.7978515625,0.051916126161813736,14713.4970703125,0.2677587866783142
episode,23489,184,196,-352.284,65,,,,
update,23552,184,197,,,4404.84619140625,0.00965418852865696,8809.677734375,0.24609622359275818
episode,23579,185,197,-125.69900000000001,90,,,,
episode,23663,185,198,-216.36500000000012,84,,,,
update,23680,185,199,,,6631.1318359375,-0.039386045187711716,13262.3486328125,0.28261786699295044
episode,23726,186,199,-351.756,63,,,,
update,23808,186,200,,,5949.16650390625,0.03772217035293579,11898.26171875,0.20354868471622467
episode,23834,187,200,-146.38199999999995,108,,,,
episode,23934,187,201,-154.79700000000003,100,,,,
update,23936,187,202,,,5292.091796875,-0.04336443170905113,10584.27734375,0.3207859694957733
episode,24054,188,202,-275.9789999999999,120,,,,
update,24064,188,203,,,4837.32373046875,-0.0008735926821827888,9674.654296875,0.22243569791316986
episode,24150,189,203,-190.082,96,,,,
update,24192,189,204,,,2772.00390625,-0.022492248564958572,5544.056640625,0.19917172193527222
episode,24304,190,204,-125.30599999999998,154,,,,
update,24320,190,205,,,2211.670166015625,-0.04961702972650528,4423.44384765625,0.2182244509458542
episode,24431,191,205,-80.195,127,,,,
update,24448,191,206,,,3714.07958984375,-0.08067239820957184,7428.32373046875,0.17087826132774353
episode,24485,192,206,-336.6209999999999,54,,,,
episode,24551,192,207,-182.92400000000006,66,,,,
update,24576,192,208,,,8015.6103515625,0.03854307532310486,16031.1474609375,0.20675331354141235
episode,24668,193,208,-169.16999999999996,117,,,,
update,24704,193,209,,,2354.852783203125,-0.00975334458053112,4709.72900390625,0.18333560228347778
episode,24757,194,209,-234.81299999999993,89,,,,
update,24832,194,210,,,2633.97265625,0.012594807893037796,5267.9248046875,0.23293456435203552
episode,24905,195,210,-431.297,148,,,,
update,24960,195,211,,,5218.60400390625,-0.07007432729005814,10437.353515625,0.26832708716392517
episode,24994,196,211,-315.167,89,,,,
update,25088,196,212,,,4717.2880859375,0.08219502121210098,9434.4150390625,0.15979409217834473
episode,25126,197,212,-137.5719999999999,132,,,,
update,25216,197,213,,,3288.70849609375,-0.029020177200436592,6577.47802734375,0.15015922486782074
