row_type,step,update,episode,episode_return,episode_length,loss,policy_loss,value_loss,entropy
update,29056,227,125,,,3562.690185546875,6.968931674957275,7111.44677734375,0.22952523827552795
update,29184,228,125,,,1655.7608642578125,-3.3316104412078857,3318.18603515625,0.05116531625390053
update,29312,229,125,,,194.2561492919922,-0.07639224827289581,388.66552734375,0.022242160513997078
episode,29426,230,125,-1477.3039999999949,451,,,,
update,29440,230,126,,,4625.4921875,24.48179817199707,9202.0224609375,0.08136527240276337
update,29568,231,126,,,1068.172119140625,3.270179510116577,2129.8076171875,0.18334579467773438
episode,29592,232,126,-340.5540000000001,166,,,,
update,29696,232,127,,,1839.749267578125,-2.572370767593384,3684.6474609375,0.21040737628936768
update,29824,233,127,,,2048.09619140625,-3.925906181335449,4104.04541015625,0.052205298095941544
episode,29827,234,127,-507.7090000000002,235,,,,
update,29952,234,128,,,1338.4595947265625,5.418288707733154,2666.0869140625,0.21708376705646515
episode,30031,235,128,-289.7069999999997,204,,,,
update,30080,235,129,,,2080.578857421875,11.86962890625,4137.42333984375,0.249663844704628
update,30208,236,129,,,1174.43115234375,-0.8042492866516113,2350.47314453125,0.1218942180275917
episode,30219,237,129,-511.09400000000016,188,,,,
